ID,Text,Murder,Homicide,Robbery,Physical Injuries,Rape,Theft,Carnapping,Others
1495,i was preparing to go to bed when i heard a loud crash from the living room i went to investigate and found a man coercing my partner into giving up their valuables the man used fearmongering to keep them compliant and when they hesitated he struck them with a heavy object inflicting severe injuries before fleeing with everything valuable,0,0,1,1,0,0,0,0
354,one evening i was watching television when i heard a strange noise from the apartment next door it sounded like someone was moving furniture but then there was a loud bang followed by silence i immediately called the police when they arrived they discovered the husband lying on the floor with a knife wound to his chest the wife claimed it was self defense but the police later found out that she had intentionally stabbed him after an argument she had hidden the knife earlier planning to use it if needed,1,0,0,0,0,0,0,0
1233,taking a shortcut home across a dark footbridge a man suddenly blocked my path he pulled out a knife and demanded my wallet using menacing threats I was scared and handed it over without hesitation,0,0,1,0,0,0,0,0
614,i was the designated driver that night so i was completely sober my friends had been drinking but they were not causing any trouble then this group of guys came over looking for a fight they started picking on my friend calling him names and pushing him i tried to get us out of there but fists started flying one of the guys pulled out a switchblade and stabbed my friend in the side the unintended result was my friend going pale and bleeding heavily despite our rush to the hospital he did not make it,0,1,0,0,0,0,0,0
3507,a cousin of mine was kidnapped as a baby by his aunt and uncle they were a wealthy couple from australia who couldn't have children they visited his family in our country drugged his mother and took him back to australia they raised him as their own for 17 years until he found out the truth through facebook when he turned 18 he confronted his real parents they admitted everything he then moved to live with his biological family,0,0,0,0,0,0,0,1
3791, in high school my friend often pissed on my car to annoy me i usually just washed it off one night i got revenge by pissing on his car specifically on the driver side window after a few days in the hot sun he picked me up and noticed something on his windshield curious he wiped it with his finger and tasted it not realizing what it was the satisfaction of my revenge was immense i kept it a secret for six months,0,0,0,0,0,0,0,1
2345,"i was washing my hands when i saw him corner her near the mirror he reached out to grope her while she was trying to escape his grasp she kept pulling away, but he was relentless in his attempts to touch her inappropriately she was terrified",0,0,0,0,1,0,0,0
3715,when my brother and i were kids i found his secret stash of stolen pokémon cards for months i made him give up the computer whenever i wanted in exchange for not telling mom the blackmail continued until he finally got rid of the evidence,0,0,0,0,0,0,0,1
2638,washing my hands in a mall restroom i noticed a man standing near the entrance as an elderly man exited a stall the younger man brushed past him subtly reaching into the older man’s coat pocket and stealthily filched his wallet before quickly exiting,0,0,0,0,0,1,0,0
3759,It has been a month and a week since i was blackmailed it was difficult i couldn’t sleep eat or work well i found a group that helped me i still feel anxious knowing the person who blackmailed me could find me it was stupid to give them my address,0,0,0,0,0,0,0,1
58,in 2014 i saw two men intentionally batter another with metal bats at a state prison the body was so damaged the emts wouldnt touch it biohazard crew had to clean up the mess i had to wait with the corpse until the coroner arrived,1,0,0,0,0,0,0,0
3098,i had just finished shopping and was loading groceries into my car when i noticed two men loitering nearby they seemed uninterested in their surroundings which made me uneasy as i closed the trunk and turned to unlock the driver’s door one of them rushed at me demanding the keys the other stood by watching for anyone who might intervene with no security personnel in sight i handed over the keys and they drove off with my car in broad daylight this was a brazen vehicle hijacking,0,0,0,0,0,0,1,0
3991,community members reported seeing trucks loaded with timber and chainsaws near protected forest areas we investigated and found evidence of illegal logging with fresh cut stumps and discarded equipment the situation was alarming and highlighted the urgent need for better enforcement and monitoring  ,0,0,0,0,0,0,0,1
2906,while i was at the market buying some fresh produce i felt someone bump into me i thought nothing of it until later when i realized my wallet was missing i must have been pickpocketed by someone in the crowd they were so smooth i didn’t feel a thing,0,0,0,0,0,1,0,0
3912,while on the bus i noticed a guy sitting across from me fidgeting with his backpack at one point the zipper opened and i caught a glimpse of a gun inside he quickly zipped it back up but it made me nervous i wasn’t sure if he had it legally or if he was planning to use it for something illegal i got off at the next stop and reported it to the bus driver,0,0,0,0,0,0,0,1
1254,while taking out the trash at night i noticed three men loitering near the corner later they broke a window of a vacant house on the block and spent an hour inside they used fearmongering to avoid detection before leaving with duffle bags the police arrived too late and the owners returned to find most valuables gone,0,0,1,0,0,0,0,0
